4061,こてしらべの洞窟（ムシ取り）,Explorer's Cave,参加者企画,91#210829,200,3442,50,1,50,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4062,新参者の試練場（ムシ取り）,Novice Training,参加者企画,91#210829,340,3715,30,1,0,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4063,グリーンホール（ムシ取り）,Green Hole,参加者企画,91#210829,185,1087,50,1,10,10,10,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4064,地下の温室（ムシ取り）,Hot House,参加者企画,91#210829,200,891,35,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4065,鉄人の穴（ムシ取り）,Brawny Abyss,参加者企画,91#210829,230,1423,50,1,0,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4066,コンクリート迷路（ムシ取り）,Concrete Maze,参加者企画,91#210829,220,460,18,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4067,三色試練場（ムシ取り）,Three Color Training,参加者企画,91#210829,230,1564,60,1,0,0,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4068,炎と水の試練場（ムシ取り）,Hazard Training,参加者企画,91#210829,400,5317,50,1,25,25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4069,巨人のトイレ（ムシ取り）,The Giant's Bath,参加者企画,91#210829,350,1470,50,1,0,50,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4070,倍々ゲームの穴（ムシ取り）,Breeding Ground,参加者企画,91#210829,430,3144,100,1,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4071,どっすん迷路（ムシ取り）,Bully Den,参加者企画,91#210829,300,3200,25,1,0,0,0,25,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4072,スナイパールーム（ムシ取り）,Sniper Room,参加者企画,91#210829,255,3252,50,1,0,0,30,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4073,デメマダラの巣窟（ムシ取り）,Emperor's Realm,参加者企画,91#210829,500,3097,74,1,20,20,0,10,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
